ProductsCategory,Date,TotalSales,PreviousTotalSales,SalesGrowthPercentage
Capsicum,2022-12-11,¥595.36,¥600.1,-0.79%
Capsicum,2022-12-12,¥333.03,¥595.36,-44.06%
Capsicum,2022-12-13,¥367.74,¥333.03,10.42%
Capsicum,2022-12-14,¥355.3,¥367.74,-3.38%
Capsicum,2022-12-15,¥524.31,¥355.3,47.57%
Capsicum,2022-12-16,¥532.43,¥524.31,1.55%
Capsicum,2022-12-17,¥596.09,¥532.43,11.96%
Capsicum,2022-12-18,¥431.19,¥596.09,-27.66%
Capsicum,2022-12-19,¥326.54,¥431.19,-24.27%
Capsicum,2022-12-20,¥323.07,¥326.54,-1.06%
Capsicum,2022-12-21,¥492.69,¥323.07,52.5%
Capsicum,2022-12-22,¥323.82,¥492.69,-34.28%
Capsicum,2022-12-23,¥284.38,¥323.82,-12.18%
Capsicum,2022-12-24,¥369.88,¥284.38,30.07%
Capsicum,2022-12-25,¥551.31,¥369.88,49.05%
Capsicum,2022-12-26,¥372.86,¥551.31,-32.37%
Capsicum,2022-12-27,¥404.85,¥372.86,8.58%
Capsicum,2022-12-28,¥352.31,¥404.85,-12.98%
Capsicum,2022-12-29,¥449.76,¥352.31,27.66%
Capsicum,2022-12-30,¥434.77,¥449.76,-3.33%
Capsicum,2022-12-31,¥679.81,¥434.77,56.36%
Capsicum,2023-01-01,¥632.98,¥679.81,-6.89%
Capsicum,2023-01-02,¥583.33,¥632.98,-7.84%
Capsicum,2023-01-03,¥506.58,¥583.33,-13.16%
Capsicum,2023-01-04,¥473.74,¥506.58,-6.48%
Capsicum,2023-01-05,¥511.56,¥473.74,7.98%
Capsicum,2023-01-06,¥531.59,¥511.56,3.92%
Capsicum,2023-01-07,¥554.9,¥531.59,4.39%
Capsicum,2023-01-08,¥720.54,¥554.9,29.85%
Capsicum,2023-01-09,¥527.96,¥720.54,-26.73%
Capsicum,2023-01-10,¥608.4,¥527.96,15.24%
Capsicum,2023-01-11,¥656.08,¥608.4,7.84%
Capsicum,2023-01-12,¥669.71,¥656.08,2.08%
Capsicum,2023-01-13,¥815.32,¥669.71,21.74%
Capsicum,2023-01-14,¥1420.36,¥815.32,74.21%
Capsicum,2023-01-15,¥1050.35,¥1420.36,-26.05%
Capsicum,2023-01-16,¥1134.93,¥1050.35,8.05%
Capsicum,2023-01-17,¥1234.26,¥1134.93,8.75%
Capsicum,2023-01-18,¥2625.64,¥1234.26,112.73%
Capsicum,2023-01-19,¥4398.7,¥2625.64,67.53%
Capsicum,2023-01-20,¥6036.39,¥4398.7,37.23%
Capsicum,2023-01-22,¥753.46,¥6036.39,-87.52%
Capsicum,2023-01-23,¥998.14,¥753.46,32.47%
Capsicum,2023-01-24,¥1615.44,¥998.14,61.85%
Capsicum,2023-01-25,¥1486.76,¥1615.44,-7.97%
Capsicum,2023-01-26,¥2139.9,¥1486.76,43.93%
Capsicum,2023-01-27,¥2056.31,¥2139.9,-3.91%
Capsicum,2023-01-28,¥1553.06,¥2056.31,-24.47%
Capsicum,2023-01-29,¥1256.23,¥1553.06,-19.11%
Capsicum,2023-01-30,¥1039.45,¥1256.23,-17.26%
Capsicum,2023-01-31,¥995.25,¥1039.45,-4.25%
Capsicum,2023-02-01,¥802.78,¥995.25,-19.34%
Capsicum,2023-02-02,¥930.34,¥802.78,15.89%
Capsicum,2023-02-03,¥1212.23,¥930.34,30.3%
Capsicum,2023-02-04,¥1562.65,¥1212.23,28.91%
Capsicum,2023-02-05,¥1154.96,¥1562.65,-26.09%
Capsicum,2023-02-06,¥550.96,¥1154.96,-52.3%
Capsicum,2023-02-07,¥643.45,¥550.96,16.79%
Capsicum,2023-02-08,¥579.3,¥643.45,-9.97%
Capsicum,2023-02-09,¥864.07,¥579.3,49.16%
Capsicum,2023-02-10,¥785.33,¥864.07,-9.11%
Capsicum,2023-02-11,¥1042.99,¥785.33,32.81%
Capsicum,2023-02-12,¥1143.26,¥1042.99,9.61%
Capsicum,2023-02-13,¥650.21,¥1143.26,-43.13%
Capsicum,2023-02-14,¥632.64,¥650.21,-2.7%
Capsicum,2023-02-15,¥627.55,¥632.64,-0.81%
Capsicum,2023-02-16,¥619.8,¥627.55,-1.23%
Capsicum,2023-02-17,¥746.06,¥619.8,20.37%
Capsicum,2023-02-18,¥1069.39,¥746.06,43.34%
Capsicum,2023-02-19,¥956.33,¥1069.39,-10.57%
Capsicum,2023-02-20,¥450.39,¥956.33,-52.9%
Capsicum,2023-02-21,¥655.9,¥450.39,45.63%
Capsicum,2023-02-22,¥618.31,¥655.9,-5.73%
Capsicum,2023-02-23,¥658.62,¥618.31,6.52%
Capsicum,2023-02-24,¥864.06,¥658.62,31.19%
Capsicum,2023-02-25,¥1135.43,¥864.06,31.41%
Capsicum,2023-02-26,¥1029.1,¥1135.43,-9.36%
Capsicum,2023-02-27,¥630.24,¥1029.1,-38.76%
Capsicum,2023-02-28,¥640.21,¥630.24,1.58%
Capsicum,2023-03-01,¥692.61,¥640.21,8.18%
Capsicum,2023-03-02,¥691.08,¥692.61,-0.22%
Capsicum,2023-03-03,¥806.4,¥691.08,16.69%
Capsicum,2023-03-04,¥1150.7,¥806.4,42.7%
Capsicum,2023-03-05,¥909.4,¥1150.7,-20.97%
Capsicum,2023-03-06,¥623.44,¥909.4,-31.45%
Capsicum,2023-03-07,¥612.61,¥623.44,-1.74%
Capsicum,2023-03-08,¥650.04,¥612.61,6.11%
Capsicum,2023-03-09,¥572.22,¥650.04,-11.97%
Capsicum,2023-03-10,¥873.98,¥572.22,52.74%
Capsicum,2023-03-11,¥979.71,¥873.98,12.1%
Capsicum,2023-03-12,¥1132.87,¥979.71,15.63%
Capsicum,2023-03-13,¥645.86,¥1132.87,-42.99%
Capsicum,2023-03-14,¥674.18,¥645.86,4.38%
Capsicum,2023-03-15,¥789.21,¥674.18,17.06%
Capsicum,2023-03-16,¥770.19,¥789.21,-2.41%
Capsicum,2023-03-17,¥1160.76,¥770.19,50.71%
Capsicum,2023-03-18,¥1352.25,¥1160.76,16.5%
Capsicum,2023-03-19,¥1222.85,¥1352.25,-9.57%
Capsicum,2023-03-20,¥868.79,¥1222.85,-28.95%
Capsicum,2023-03-21,¥797.21,¥868.79,-8.24%
Capsicum,2023-03-22,¥829.22,¥797.21,4.01%
Capsicum,2023-03-23,¥674.77,¥829.22,-18.63%
Capsicum,2023-03-24,¥1025.1,¥674.77,51.92%
Capsicum,2023-03-25,¥1255.77,¥1025.1,22.5%
Capsicum,2023-03-26,¥1182.33,¥1255.77,-5.85%
Capsicum,2023-03-27,¥694.14,¥1182.33,-41.29%
Capsicum,2023-03-28,¥629.59,¥694.14,-9.3%
Capsicum,2023-03-29,¥718.02,¥629.59,14.05%
Capsicum,2023-03-30,¥551.4,¥718.02,-23.21%
Capsicum,2023-03-31,¥850.97,¥551.4,54.33%
Capsicum,2023-04-01,¥909.67,¥850.97,6.9%
Capsicum,2023-04-02,¥1014.94,¥909.67,11.57%
Capsicum,2023-04-03,¥621.86,¥1014.94,-38.73%
Capsicum,2023-04-04,¥675.95,¥621.86,8.7%
Capsicum,2023-04-05,¥800.57,¥675.95,18.44%
Capsicum,2023-04-06,¥653.66,¥800.57,-18.35%
Capsicum,2023-04-07,¥572.84,¥653.66,-12.36%
Capsicum,2023-04-08,¥788.44,¥572.84,37.64%
Capsicum,2023-04-09,¥851.29,¥788.44,7.97%
Capsicum,2023-04-10,¥445.89,¥851.29,-47.62%
Capsicum,2023-04-11,¥554.8,¥445.89,24.43%
Capsicum,2023-04-12,¥527.99,¥554.8,-4.83%
Capsicum,2023-04-13,¥521.5,¥527.99,-1.23%
Capsicum,2023-04-14,¥608.96,¥521.5,16.77%
Capsicum,2023-04-15,¥869.61,¥608.96,42.8%
Capsicum,2023-04-16,¥888.88,¥869.61,2.22%
Capsicum,2023-04-17,¥490.27,¥888.88,-44.84%
Capsicum,2023-04-18,¥575.49,¥490.27,17.38%
Capsicum,2023-04-19,¥514.41,¥575.49,-10.61%
Capsicum,2023-04-20,¥420.62,¥514.41,-18.23%
Capsicum,2023-04-21,¥737.41,¥420.62,75.32%
Capsicum,2023-04-22,¥1211.12,¥737.41,64.24%
Capsicum,2023-04-23,¥997.85,¥1211.12,-17.61%
Capsicum,2023-04-24,¥512.25,¥997.85,-48.66%
Capsicum,2023-04-25,¥441.58,¥512.25,-13.8%
Capsicum,2023-04-26,¥276.29,¥441.58,-37.43%
Capsicum,2023-04-27,¥392.5,¥276.29,42.06%
Capsicum,2023-04-28,¥491.09,¥392.5,25.12%
Capsicum,2023-04-29,¥925.18,¥491.09,88.39%
Capsicum,2023-04-30,¥764.03,¥925.18,-17.42%
Capsicum,2023-05-01,¥906.1,¥764.03,18.6%
Capsicum,2023-05-02,¥722.95,¥906.1,-20.21%
Capsicum,2023-05-03,¥712.09,¥722.95,-1.5%
Capsicum,2023-05-04,¥558.06,¥712.09,-21.63%
Capsicum,2023-05-05,¥534,¥558.06,-4.31%
Capsicum,2023-05-06,¥689.45,¥534,29.11%
Capsicum,2023-05-07,¥946.57,¥689.45,37.29%
Capsicum,2023-05-08,¥645.84,¥946.57,-31.77%
Capsicum,2023-05-09,¥630.79,¥645.84,-2.33%
Capsicum,2023-05-10,¥681.27,¥630.79,8%
Capsicum,2023-05-11,¥535.76,¥681.27,-21.36%
Capsicum,2023-05-12,¥673.08,¥535.76,25.63%
Capsicum,2023-05-13,¥968.97,¥673.08,43.96%
Capsicum,2023-05-14,¥797.5,¥968.97,-17.7%
Capsicum,2023-05-15,¥548.85,¥797.5,-31.18%
Capsicum,2023-05-16,¥601.95,¥548.85,9.67%
Capsicum,2023-05-17,¥529.95,¥601.95,-11.96%
Capsicum,2023-05-18,¥385.66,¥529.95,-27.23%
Capsicum,2023-05-19,¥569.16,¥385.66,47.58%
Capsicum,2023-05-20,¥638.81,¥569.16,12.24%
Capsicum,2023-05-21,¥826.65,¥638.81,29.41%
Capsicum,2023-05-22,¥627.61,¥826.65,-24.08%
Capsicum,2023-05-23,¥512.46,¥627.61,-18.35%
Capsicum,2023-05-24,¥467.04,¥512.46,-8.86%
Capsicum,2023-05-25,¥521.13,¥467.04,11.58%
Capsicum,2023-05-26,¥660.84,¥521.13,26.81%
Capsicum,2023-05-27,¥862.67,¥660.84,30.54%
Capsicum,2023-05-28,¥889.46,¥862.67,3.11%
Capsicum,2023-05-29,¥431.8,¥889.46,-51.45%
Capsicum,2023-05-30,¥399.44,¥431.8,-7.49%
Capsicum,2023-05-31,¥446.14,¥399.44,11.69%
Capsicum,2023-06-01,¥493.16,¥446.14,10.54%
Capsicum,2023-06-02,¥508.86,¥493.16,3.18%
Capsicum,2023-06-03,¥808.32,¥508.86,58.85%
Capsicum,2023-06-04,¥782.46,¥808.32,-3.2%
Capsicum,2023-06-05,¥439.05,¥782.46,-43.89%
Capsicum,2023-06-06,¥489.58,¥439.05,11.51%
Capsicum,2023-06-07,¥478.55,¥489.58,-2.25%
Capsicum,2023-06-08,¥519.08,¥478.55,8.47%
Capsicum,2023-06-09,¥456.88,¥519.08,-11.98%
Capsicum,2023-06-10,¥824.61,¥456.88,80.49%
Capsicum,2023-06-11,¥715.19,¥824.61,-13.27%
Capsicum,2023-06-12,¥415.31,¥715.19,-41.93%
Capsicum,2023-06-13,¥455.69,¥415.31,9.72%
Capsicum,2023-06-14,¥462.93,¥455.69,1.59%
Capsicum,2023-06-15,¥392.04,¥462.93,-15.31%
Capsicum,2023-06-16,¥495.78,¥392.04,26.46%
Capsicum,2023-06-17,¥882.95,¥495.78,78.09%
Capsicum,2023-06-18,¥785.48,¥882.95,-11.04%
Capsicum,2023-06-19,¥416.46,¥785.48,-46.98%
Capsicum,2023-06-20,¥393.06,¥416.46,-5.62%
Capsicum,2023-06-21,¥436.49,¥393.06,11.05%
Capsicum,2023-06-22,¥623.76,¥436.49,42.9%
Capsicum,2023-06-23,¥467.09,¥623.76,-25.12%
Capsicum,2023-06-24,¥544.68,¥467.09,16.61%
Capsicum,2023-06-25,¥385.57,¥544.68,-29.21%
Capsicum,2023-06-26,¥425.57,¥385.57,10.37%
Capsicum,2023-06-27,¥422.84,¥425.57,-0.64%
Capsicum,2023-06-28,¥415.45,¥422.84,-1.75%
Capsicum,2023-06-29,¥556.43,¥415.45,33.93%
Capsicum,2023-06-30,¥501.62,¥556.43,-9.85%
"Edible Mushroom",2020-07-01,¥368.6,NULL,NULL
"Edible Mushroom",2020-07-02,¥605.93,¥368.6,64.39%
"Edible Mushroom",2020-07-03,¥546.29,¥605.93,-9.84%
"Edible Mushroom",2020-07-04,¥578.7,¥546.29,5.93%
"Edible Mushroom",2020-07-05,¥732.62,¥578.7,26.6%
"Edible Mushroom",2020-07-06,¥487.6,¥732.62,-33.44%
"Edible Mushroom",2020-07-07,¥622.33,¥487.6,27.63%
"Edible Mushroom",2020-07-08,¥565.42,¥622.33,-9.15%
"Edible Mushroom",2020-07-09,¥464.12,¥565.42,-17.92%
"Edible Mushroom",2020-07-10,¥470.81,¥464.12,1.44%
"Edible Mushroom",2020-07-11,¥700.31,¥470.81,48.75%
"Edible Mushroom",2020-07-12,¥678.73,¥700.31,-3.08%
"Edible Mushroom",2020-07-13,¥544,¥678.73,-19.85%
"Edible Mushroom",2020-07-14,¥537.01,¥544,-1.28%
"Edible Mushroom",2020-07-15,¥494.04,¥537.01,-8%
"Edible Mushroom",2020-07-16,¥637.68,¥494.04,29.08%
"Edible Mushroom",2020-07-17,¥656.77,¥637.68,2.99%
"Edible Mushroom",2020-07-18,¥880.76,¥656.77,34.1%
"Edible Mushroom",2020-07-19,¥1118.75,¥880.76,27.02%
"Edible Mushroom",2020-07-20,¥627.68,¥1118.75,-43.9%
"Edible Mushroom",2020-07-21,¥570.27,¥627.68,-9.15%
"Edible Mushroom",2020-07-22,¥743.27,¥570.27,30.34%
"Edible Mushroom",2020-07-23,¥623.92,¥743.27,-16.06%
"Edible Mushroom",2020-07-24,¥573.48,¥623.92,-8.08%
"Edible Mushroom",2020-07-25,¥809.15,¥573.48,41.09%
"Edible Mushroom",2020-07-26,¥882.82,¥809.15,9.1%
"Edible Mushroom",2020-07-27,¥654.27,¥882.82,-25.89%
"Edible Mushroom",2020-07-28,¥551,¥654.27,-15.78%
"Edible Mushroom",2020-07-29,¥660.91,¥551,19.95%
"Edible Mushroom",2020-07-30,¥578.29,¥660.91,-12.5%
"Edible Mushroom",2020-07-31,¥522.95,¥578.29,-9.57%
"Edible Mushroom",2020-08-01,¥669.58,¥522.95,28.04%
"Edible Mushroom",2020-08-02,¥617.64,¥669.58,-7.76%
"Edible Mushroom",2020-08-03,¥600.76,¥617.64,-2.73%
"Edible Mushroom",2020-08-04,¥570.84,¥600.76,-4.98%
"Edible Mushroom",2020-08-05,¥757.83,¥570.84,32.76%
"Edible Mushroom",2020-08-06,¥596.59,¥757.83,-21.28%
"Edible Mushroom",2020-08-07,¥735.97,¥596.59,23.36%
"Edible Mushroom",2020-08-08,¥863.66,¥735.97,17.35%
"Edible Mushroom",2020-08-09,¥930.36,¥863.66,7.72%
"Edible Mushroom",2020-08-10,¥497.31,¥930.36,-46.55%
"Edible Mushroom",2020-08-11,¥529.76,¥497.31,6.52%
"Edible Mushroom",2020-08-12,¥459.8,¥529.76,-13.2%
"Edible Mushroom",2020-08-13,¥480.53,¥459.8,4.51%
"Edible Mushroom",2020-08-14,¥583.87,¥480.53,21.51%
"Edible Mushroom",2020-08-15,¥658.72,¥583.87,12.82%
"Edible Mushroom",2020-08-16,¥685.62,¥658.72,4.08%
"Edible Mushroom",2020-08-17,¥538.44,¥685.62,-21.47%
"Edible Mushroom",2020-08-18,¥523.62,¥538.44,-2.75%
"Edible Mushroom",2020-08-19,¥621.48,¥523.62,18.69%
"Edible Mushroom",2020-08-20,¥608.81,¥621.48,-2.04%
"Edible Mushroom",2020-08-21,¥608.32,¥608.81,-0.08%
"Edible Mushroom",2020-08-22,¥627.02,¥608.32,3.07%
"Edible Mushroom",2020-08-23,¥665.18,¥627.02,6.09%
"Edible Mushroom",2020-08-24,¥472.22,¥665.18,-29.01%
"Edible Mushroom",2020-08-25,¥627.62,¥472.22,32.91%
"Edible Mushroom",2020-08-26,¥605.67,¥627.62,-3.5%
"Edible Mushroom",2020-08-27,¥600.53,¥605.67,-0.85%
"Edible Mushroom",2020-08-28,¥652.19,¥600.53,8.6%
"Edible Mushroom",2020-08-29,¥728.23,¥652.19,11.66%
"Edible Mushroom",2020-08-30,¥761.03,¥728.23,4.5%
"Edible Mushroom",2020-08-31,¥605.26,¥761.03,-20.47%
"Edible Mushroom",2020-09-01,¥585.4,¥605.26,-3.28%
"Edible Mushroom",2020-09-02,¥550.88,¥585.4,-5.9%
"Edible Mushroom",2020-09-03,¥514.71,¥550.88,-6.57%
"Edible Mushroom",2020-09-04,¥638.45,¥514.71,24.04%
"Edible Mushroom",2020-09-05,¥733.14,¥638.45,14.83%
"Edible Mushroom",2020-09-06,¥845.63,¥733.14,15.34%
"Edible Mushroom",2020-09-07,¥490.57,¥845.63,-41.99%
"Edible Mushroom",2020-09-08,¥446.34,¥490.57,-9.02%
"Edible Mushroom",2020-09-09,¥416.39,¥446.34,-6.71%
"Edible Mushroom",2020-09-10,¥442.85,¥416.39,6.35%
"Edible Mushroom",2020-09-11,¥584.88,¥442.85,32.07%
"Edible Mushroom",2020-09-12,¥794.11,¥584.88,35.77%
"Edible Mushroom",2020-09-13,¥936.66,¥794.11,17.95%
"Edible Mushroom",2020-09-14,¥444.75,¥936.66,-52.52%
"Edible Mushroom",2020-09-15,¥525.62,¥444.75,18.18%
"Edible Mushroom",2020-09-16,¥448.16,¥525.62,-14.74%
"Edible Mushroom",2020-09-17,¥387.15,¥448.16,-13.61%
"Edible Mushroom",2020-09-18,¥494.78,¥387.15,27.8%
"Edible Mushroom",2020-09-19,¥587.05,¥494.78,18.65%
"Edible Mushroom",2020-09-20,¥661.04,¥587.05,12.6%
"Edible Mushroom",2020-09-21,¥625.15,¥661.04,-5.43%
"Edible Mushroom",2020-09-22,¥743.74,¥625.15,18.97%
"Edible Mushroom",2020-09-23,¥629,¥743.74,-15.43%
"Edible Mushroom",2020-09-24,¥765.65,¥629,21.72%
"Edible Mushroom",2020-09-25,¥768.56,¥765.65,0.38%
"Edible Mushroom",2020-09-26,¥1114.72,¥768.56,45.04%
"Edible Mushroom",2020-09-27,¥827.3,¥1114.72,-25.78%
"Edible Mushroom",2020-09-28,¥559.58,¥827.3,-32.36%
"Edible Mushroom",2020-09-29,¥561.59,¥559.58,0.36%
"Edible Mushroom",2020-09-30,¥1347.01,¥561.59,139.86%
"Edible Mushroom",2020-10-01,¥1363.19,¥1347.01,1.2%
"Edible Mushroom",2020-10-02,¥957.48,¥1363.19,-29.76%
"Edible Mushroom",2020-10-03,¥777.6,¥957.48,-18.79%
"Edible Mushroom",2020-10-04,¥1049.71,¥777.6,34.99%
"Edible Mushroom",2020-10-05,¥1250.15,¥1049.71,19.1%
"Edible Mushroom",2020-10-06,¥1159.66,¥1250.15,-7.24%
"Edible Mushroom",2020-10-07,¥1044.47,¥1159.66,-9.93%
"Edible Mushroom",2020-10-08,¥1355.16,¥1044.47,29.75%
"Edible Mushroom",2020-10-09,¥567.09,¥1355.16,-58.15%
"Edible Mushroom",2020-10-10,¥805.14,¥567.09,41.98%
"Edible Mushroom",2020-10-11,¥1149.31,¥805.14,42.75%
"Edible Mushroom",2020-10-12,¥712.31,¥1149.31,-38.02%
"Edible Mushroom",2020-10-13,¥532.18,¥712.31,-25.29%
"Edible Mushroom",2020-10-14,¥723.51,¥532.18,35.95%
"Edible Mushroom",2020-10-15,¥692.38,¥723.51,-4.3%
"Edible Mushroom",2020-10-16,¥804.43,¥692.38,16.18%
"Edible Mushroom",2020-10-17,¥1251.63,¥804.43,55.59%
"Edible Mushroom",2020-10-18,¥1339.16,¥1251.63,6.99%
"Edible Mushroom",2020-10-19,¥562.88,¥1339.16,-57.97%
"Edible Mushroom",2020-10-20,¥508.96,¥562.88,-9.58%
"Edible Mushroom",2020-10-21,¥545.63,¥508.96,7.21%
"Edible Mushroom",2020-10-22,¥906.67,¥545.63,66.17%
"Edible Mushroom",2020-10-23,¥1055.07,¥906.67,16.37%
"Edible Mushroom",2020-10-24,¥963.07,¥1055.07,-8.72%
"Edible Mushroom",2020-10-25,¥914.67,¥963.07,-5.03%
"Edible Mushroom",2020-10-26,¥545.74,¥914.67,-40.33%
"Edible Mushroom",2020-10-27,¥501.14,¥545.74,-8.17%
"Edible Mushroom",2020-10-28,¥607.95,¥501.14,21.31%
"Edible Mushroom",2020-10-29,¥661.98,¥607.95,8.89%
"Edible Mushroom",2020-10-30,¥657.79,¥661.98,-0.63%
"Edible Mushroom",2020-10-31,¥1339.9,¥657.79,103.7%
"Edible Mushroom",2020-11-01,¥1165.72,¥1339.9,-13%
"Edible Mushroom",2020-11-02,¥676.33,¥1165.72,-41.98%
"Edible Mushroom",2020-11-03,¥533.03,¥676.33,-21.19%
"Edible Mushroom",2020-11-04,¥789.97,¥533.03,48.2%
"Edible Mushroom",2020-11-05,¥664.18,¥789.97,-15.92%
"Edible Mushroom",2020-11-06,¥552.14,¥664.18,-16.87%
"Edible Mushroom",2020-11-07,¥1174.58,¥552.14,112.73%
"Edible Mushroom",2020-11-08,¥1146.98,¥1174.58,-2.35%
"Edible Mushroom",2020-11-09,¥469.44,¥1146.98,-59.07%
"Edible Mushroom",2020-11-10,¥450.62,¥469.44,-4.01%
"Edible Mushroom",2020-11-11,¥395.88,¥450.62,-12.15%
"Edible Mushroom",2020-11-12,¥397.19,¥395.88,0.33%
"Edible Mushroom",2020-11-13,¥405.83,¥397.19,2.18%
"Edible Mushroom",2020-11-14,¥677.13,¥405.83,66.85%
"Edible Mushroom",2020-11-15,¥433.12,¥677.13,-36.04%
"Edible Mushroom",2020-11-16,¥327.35,¥433.12,-24.42%
"Edible Mushroom",2020-11-17,¥495.59,¥327.35,51.4%
"Edible Mushroom",2020-11-18,¥461.11,¥495.59,-6.96%
"Edible Mushroom",2020-11-19,¥524,¥461.11,13.64%
"Edible Mushroom",2020-11-20,¥358.98,¥524,-31.49%
"Edible Mushroom",2020-11-21,¥869.03,¥358.98,142.08%
"Edible Mushroom",2020-11-22,¥1537.69,¥869.03,76.94%
"Edible Mushroom",2020-11-23,¥1147.44,¥1537.69,-25.38%
"Edible Mushroom",2020-11-24,¥827.4,¥1147.44,-27.89%
"Edible Mushroom",2020-11-25,¥803.33,¥827.4,-2.91%
"Edible Mushroom",2020-11-26,¥839.59,¥803.33,4.51%
"Edible Mushroom",2020-11-27,¥901.73,¥839.59,7.4%
"Edible Mushroom",2020-11-28,¥1306.89,¥901.73,44.93%
"Edible Mushroom",2020-11-29,¥1362.5,¥1306.89,4.26%
"Edible Mushroom",2020-11-30,¥609.44,¥1362.5,-55.27%
"Edible Mushroom",2020-12-01,¥641.61,¥609.44,5.28%
"Edible Mushroom",2020-12-02,¥1065.27,¥641.61,66.03%
"Edible Mushroom",2020-12-03,¥786.58,¥1065.27,-26.16%
"Edible Mushroom",2020-12-04,¥910.58,¥786.58,15.76%
"Edible Mushroom",2020-12-05,¥1375.46,¥910.58,51.05%
"Edible Mushroom",2020-12-06,¥1740.89,¥1375.46,26.57%
"Edible Mushroom",2020-12-07,¥737.08,¥1740.89,-57.66%
"Edible Mushroom",2020-12-08,¥783.57,¥737.08,6.31%
"Edible Mushroom",2020-12-09,¥815.82,¥783.57,4.12%
"Edible Mushroom",2020-12-10,¥815.37,¥815.82,-0.06%
"Edible Mushroom",2020-12-11,¥784.88,¥815.37,-3.74%
"Edible Mushroom",2020-12-12,¥1579.92,¥784.88,101.3%
"Edible Mushroom",2020-12-13,¥1692.82,¥1579.92,7.15%
"Edible Mushroom",2020-12-14,¥834.34,¥1692.82,-50.71%
"Edible Mushroom",2020-12-15,¥976.41,¥834.34,17.03%
"Edible Mushroom",2020-12-16,¥706.65,¥976.41,-27.63%
"Edible Mushroom",2020-12-17,¥868.66,¥706.65,22.93%
"Edible Mushroom",2020-12-18,¥831.66,¥868.66,-4.26%
"Edible Mushroom",2020-12-19,¥1478.82,¥831.66,77.82%
"Edible Mushroom",2020-12-20,¥1216.8,¥1478.82,-17.72%
"Edible Mushroom",2020-12-21,¥802.81,¥1216.8,-34.02%
"Edible Mushroom",2020-12-22,¥689.74,¥802.81,-14.08%
"Edible Mushroom",2020-12-23,¥626.56,¥689.74,-9.16%
"Edible Mushroom",2020-12-24,¥662.69,¥626.56,5.77%
"Edible Mushroom",2020-12-25,¥1323.44,¥662.69,99.71%
"Edible Mushroom",2020-12-26,¥1095.33,¥1323.44,-17.24%
"Edible Mushroom",2020-12-27,¥1153.77,¥1095.33,5.34%
"Edible Mushroom",2020-12-28,¥681.14,¥1153.77,-40.96%
"Edible Mushroom",2020-12-29,¥759.3,¥681.14,11.48%
"Edible Mushroom",2020-12-30,¥618.08,¥759.3,-18.6%
"Edible Mushroom",2020-12-31,¥1031.81,¥618.08,66.94%
"Edible Mushroom",2021-01-01,¥1247.12,¥1031.81,20.87%
"Edible Mushroom",2021-01-02,¥1000.74,¥1247.12,-19.76%
"Edible Mushroom",2021-01-03,¥978.19,¥1000.74,-2.25%
"Edible Mushroom",2021-01-04,¥838.37,¥978.19,-14.29%
"Edible Mushroom",2021-01-05,¥757.79,¥838.37,-9.61%
"Edible Mushroom",2021-01-06,¥760.25,¥757.79,0.32%
"Edible Mushroom",2021-01-07,¥935.49,¥760.25,23.05%
"Edible Mushroom",2021-01-08,¥808.26,¥935.49,-13.6%
"Edible Mushroom",2021-01-09,¥1199.15,¥808.26,48.36%
"Edible Mushroom",2021-01-10,¥1401.82,¥1199.15,16.9%
"Edible Mushroom",2021-01-11,¥782.59,¥1401.82,-44.17%
"Edible Mushroom",2021-01-12,¥755,¥782.59,-3.53%
"Edible Mushroom",2021-01-13,¥779.54,¥755,3.25%
"Edible Mushroom",2021-01-14,¥812.04,¥779.54,4.17%
"Edible Mushroom",2021-01-15,¥1069.23,¥812.04,31.67%
"Edible Mushroom",2021-01-16,¥1398.28,¥1069.23,30.77%
"Edible Mushroom",2021-01-17,¥1245.7,¥1398.28,-10.91%
"Edible Mushroom",2021-01-18,¥711.67,¥1245.7,-42.87%
"Edible Mushroom",2021-01-19,¥633.94,¥711.67,-10.92%
"Edible Mushroom",2021-01-20,¥844.83,¥633.94,33.27%
"Edible Mushroom",2021-01-21,¥584.01,¥844.83,-30.87%
"Edible Mushroom",2021-01-22,¥883.93,¥584.01,51.36%
"Edible Mushroom",2021-01-23,¥1200.53,¥883.93,35.82%
"Edible Mushroom",2021-01-24,¥1285.37,¥1200.53,7.07%
"Edible Mushroom",2021-01-25,¥888.58,¥1285.37,-30.87%
"Edible Mushroom",2021-01-26,¥944.9,¥888.58,6.34%
"Edible Mushroom",2021-01-27,¥1086.43,¥944.9,14.98%
"Edible Mushroom",2021-01-28,¥838.73,¥1086.43,-22.8%
"Edible Mushroom",2021-01-29,¥811.4,¥838.73,-3.26%
"Edible Mushroom",2021-01-30,¥1033.21,¥811.4,27.34%
"Edible Mushroom",2021-01-31,¥1160.36,¥1033.21,12.31%
"Edible Mushroom",2021-02-01,¥798.26,¥1160.36,-31.21%
"Edible Mushroom",2021-02-02,¥866.59,¥798.26,8.56%
"Edible Mushroom",2021-02-03,¥973.48,¥866.59,12.33%
"Edible Mushroom",2021-02-04,¥1187.99,¥973.48,22.04%
"Edible Mushroom",2021-02-05,¥1139.67,¥1187.99,-4.07%
"Edible Mushroom",2021-02-06,¥1280.11,¥1139.67,12.32%
"Edible Mushroom",2021-02-07,¥1539.41,¥1280.11,20.26%
"Edible Mushroom",2021-02-08,¥2369.98,¥1539.41,53.95%
